Date,Check #,Description,Amount
01/04/2021,7777,Transaction 1,"$150.43"
01/05/2021,,Transaction 2,"$700.25"
01/06/2021,,Transaction 3,"-$1,303.97"
01/07/2021,,Transaction 4,"$46.78"
01/08/2021,,Transaction 5,"$816.87"
01/11/2021,1934,Transaction 6,"-$1,002.53"
01/12/2021,7307,Transaction 7,"$532.22"
02/03/2021,,Transaction 17,"$78.02"
02/04/2021,,Transaction 18,"$268.81"
02/05/2021,,Transaction 19,"$1,360.55"
02/08/2021,,Transaction 20,"-$594.46"
02/09/2021,9125,Transaction 21,"$467.39"
02/10/2021,,Transaction 22,"$39.49"
02/11/2021,7929,Transaction 23,"-$81.87"
02/12/2021,,Transaction 24,"$255.64"
02/12/2021,,Transaction 25,"$13.51"